,company_name,budget,original_language,popularity,release_date,revenue,runtime,vote_average,vote_count,country,belongs_to_collection,country_of_company,genre,year
2742,Taylor Swift Productions,15000000,en,32.307,2023-10-13,261656269,169,8.3,427,US,False,US,Music,2023
2743,Fat City,0,en,37.365,2025-01-24,0,113,0.0,0,US,False,US,Comedy,2025
2744,MNC Pictures,0,id,256.425,2024-09-19,0,123,7.8,6,ID,False,ID,"Horror,Thriller",2024
2745,StudioCanal,0,en,188.955,2024-05-08,251071,80,7.117,94,CA,False,FR,"Horror,Thriller,Action",2024
2746,MandarinVision,0,zh,43.558,2024-02-08,0,109,6.2,68,TW,False,TW,"Action,Comedy",2024
2747,EuropaCorp,30000000,en,279.51,2024-09-19,2826064,101,6.2,124,TW,False,FR,"Action,Adventure,Thriller",2024
2748,VelCurve Studio,0,th,35.81,2024-07-04,0,148,6.2,25,TH,False,TH,"Romance,Drama,Science Fiction",2024
2749,BH5,0,es,31.529,2024-11-21,0,93,6.0,2,MX,False,MX,Romance,2024
2750,Ay Yapım,0,tr,42.372,2024-11-06,0,110,6.5,22,TR,10 Days of a Man Collection,TR,"Thriller,Drama,Crime",2024
2751,Mainframe Studios,0,en,32.871,2024-03-03,0,60,7.1,11,US,False,CA,"Animation,Family",2024
2752,CREDEUS,0,ja,61.612,2024-01-19,19077748,129,6.6,61,JP,Golden Kamuy Collection,JP,"Action,Adventure,Comedy",2024
2753,Destination Films,0,en,37.001,2023-09-26,0,92,6.6,149,US,Sniper Collection,US,"Action,Thriller",2023
2754,Mandarin Cinéma,0,fr,32.767,2024-10-02,0,104,6.5,61,FR,False,FR,Drama,2024
2755,Inoxy Films,0,fr,241.133,2024-11-19,0,100,6.022,112,FR,False,FR,"Action,Crime,Drama",2024
2756,Glaz Entretenimento,0,pt,108.086,2023-10-25,0,99,6.3,177,BR,False,BR,"Drama,Mystery,Romance",2023
2757,ICEC,0,ca,43.872,2024-09-06,0,110,7.4,57,ES,False,ES,"Crime,Drama",2024
2758,Hello Princess,0,en,84.709,2023-12-26,0,77,5.991,171,GB,False,GB,"Horror,Thriller",2023
2759,Newacheck Brothers Productions,0,en,38.682,2024-02-14,0,82,6.0,107,US,False,US,"Horror,Thriller",2024
2760,Star Original Productions,0,pt,164.709,2024-10-10,0,0,8.5,1,BR,Tudo Por um Pop Star: Coleção,BR,Comedy,2024
2761,Rotting Press,0,en,284.463,2023-12-08,0,76,6.667,9,US,False,US,Horror,2023
2762,OPM Dream Mill Cinemas,0,ml,67.138,2024-12-19,0,113,6.2,4,IN,False,IN,"Action,Thriller",2024
2763,Glaz Entretenimento,0,pt,348.625,2025-01-17,0,86,6.188,8,BR,False,BR,"Comedy,Action",2025
2764,Hood River Entertainment,0,en,39.757,2023-10-13,0,89,6.0,24,US,... Cameras Collection,US,"Horror,Thriller",2023
2765,Eodem Pictures,148000,en,38.859,2024-03-22,0,78,0.0,0,ES,False,ES,"Drama,Thriller",2024
2766,Mother Tongues Films,0,ga,34.722,2024-08-02,4345446,105,7.0,101,IE,False,IE,"Comedy,Drama,Music",2024
2767,Palomar,0,it,107.922,2024-10-21,0,106,7.5,201,IT,False,IT,Drama,2024
2768,Scene23,0,en,51.122,2024-03-28,0,108,6.0,113,ZA,False,ZA,Action,2024
2769,MarVista Entertainment,0,en,37.999,2023-09-21,0,100,8.608,278,US,False,US,"Comedy,Romance",2023
2770,Canary Film Factory,5000000,en,182.147,2024-01-15,0,81,8.0,11,US,False,US,Animation,2024
2771,Gidden Media,16000000,en,101.222,2024-10-09,17272520,122,6.916,393,US,False,US,"Drama,History",2024
2772,Convergence Entertainment,11500000,en,342.4,2024-10-30,0,89,5.462,145,US,False,US,"Action,Crime,Thriller",2024
2773,Star Original Productions,0,es,34.973,2024-10-10,0,117,7.982,28,US,False,MX,"Drama,Thriller",2024
2774,Wildgaze Films,0,en,43.659,2024-11-15,0,115,6.877,106,GB,False,GB,Drama,2024
2775,Dharma Productions,0,hi,34.612,2024-10-10,0,155,6.2,44,IN,False,IN,"Crime,Drama,Thriller",2024
2776,DreamWorks Animation,78000000,en,877.206,2024-09-12,324816010,102,8.36,4117,US,The Wild Robot Collection,US,"Animation,Action,Science Fiction,Family",2024
